"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","363","Регистрация: повторный пароль не совпадает","tests","Fri Jul 18 16:15:36 GMT+05:00 2025","passed","Fri Jul 18 16:15:36 GMT+05:00 2025","","test_register","",""
"","135","Успешная регистрация пользователя","tests","Fri Jul 18 16:15:34 GMT+05:00 2025","passed","Fri Jul 18 16:15:34 GMT+05:00 2025","","test_register","",""
"","543","Добавление заморозки ученику","tests","Fri Jul 18 16:14:37 GMT+05:00 2025","passed","Fri Jul 18 16:14:37 GMT+05:00 2025","","test_add_pupil_freezing","",""
"","2986","Создание подписки через Kaspi: Kaspi | kaspi_more_than_three_months","tests","Fri Jul 18 16:15:15 GMT+05:00 2025","passed","Fri Jul 18 16:15:18 GMT+05:00 2025","","test_create_subscription_pupil_kaspi","",""
"","376","Логин: Пустой номер телефона","tests","Fri Jul 18 16:15:33 GMT+05:00 2025","passed","Fri Jul 18 16:15:33 GMT+05:00 2025","","test_login","",""
"","3289","Создание подписки ученику: Halyk 3 мес.","tests","Fri Jul 18 16:14:44 GMT+05:00 2025","passed","Fri Jul 18 16:14:47 GMT+05:00 2025","","test_create_subscription_pupil_halyk","",""
"","2990","Создание подписки через Kaspi: Kaspi | kaspi_pay (0.95%)","tests","Fri Jul 18 16:15:09 GMT+05:00 2025","passed","Fri Jul 18 16:15:12 GMT+05:00 2025","","test_create_subscription_pupil_kaspi","",""
"","257","Успешный логин пользователя","tests","Fri Jul 18 16:15:32 GMT+05:00 2025","passed","Fri Jul 18 16:15:32 GMT+05:00 2025","","test_login","",""
"","181","Регистрация: Пустое имя","tests","Fri Jul 18 16:15:35 GMT+05:00 2025","passed","Fri Jul 18 16:15:35 GMT+05:00 2025","","test_register","",""
"","3172","Создание подписки через Kaspi: Kaspi | UNT курс","tests","Fri Jul 18 16:15:25 GMT+05:00 2025","passed","Fri Jul 18 16:15:28 GMT+05:00 2025","","test_create_subscription_pupil_kaspi","",""
